id,file,client_receipt_id,snapshot_url_1,handle_id,retailer_name,store_phone,purchase_date,purchase_time,purchase_total,num_items_with_total,summed_net_total,receipt_item_code,receipt_item_description,receipt_item_price,receipt_item_quantity,quantity_type,identified_product_upc,identified_product_description,identified_product_brand,product_category,essence_in_item,essence,match_ratio_to_item_tokens,product_confidence,product_retailer,type,algorithm
,"out_of_home2","OOHReceipt_20200124_182758","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_182758_1.jpg","4b7b6d18-d08d-46b7-b330-eb4ed3d250da",,"03392250540","2020-01-24","18:26:16",,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200127_085258","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200127_085258_1.jpg","0278573f-9b6c-441c-9ef7-e94bf94a7773",,"022339792764","2020-01-25","17:54:00","4.80",,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200122_174533","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200122_174533_1.jpg","5eb1d400-b499-4512-9bdc-2ec956dd434d",,,"2020-01-22","12:12:00",,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200124_203317","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_203317_1.jpg","a5b962a4-ceb9-442f-be43-e8ef995b06d0",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200122_141354","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200122_141354_1.jpg","69ad0bdf-db41-4918-af89-ae5e5a4115d9","REWE",,"2020-01-22","12:14:59","1.50",,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200120_155759","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200120_155759_1.jpg","15038a63-5c42-4bf0-88be-343e5b552b83",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200121_152314","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200121_152314_1.jpg","27f3d07c-e360-41c7-9e7f-baaf4cd96d32",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200122_124014","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200122_124014_1.jpg","cef877ca-a6b5-42c5-bae4-02b157a1e435",,,"2020-01-22","12:10:00","3.15",,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200117_122450","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200117_122450_1.jpg","ed19d9b4-7677-4a98-a6db-81b044395a74",,,"2020-01-17","12:23:00",,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200124_203030","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_203030_1.jpg","d4693270-e89c-4116-8bd7-e42517c0a2b6",,,,,"16.20",,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200124_094925","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_094925_1.jpg","0d4574d0-ae78-4ebd-b3fe-8666ca529f4c","REWE","091120297242","2020-01-24",,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200116_122825","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200116_122825_1.jpg","598cceb4-bb52-40d7-9329-32a922b74c1b",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200123_142652","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200123_142652_1.jpg","398dad3d-244a-454a-a17b-e2f7aa760175",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200117_113256","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200117_113256_1.jpg","056dc67e-caea-4e9a-8779-dcaecd88f7a3",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200121_154738","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200121_154738_1.jpg","d18694bc-6af4-4524-a553-885bfc051364",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200120_154655","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200120_154655_1.jpg","8be891f3-f4ca-45e2-bf0f-6b975842849d",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200119_191208","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200119_191208_1.jpg","ea18acbe-468b-451e-84f2-fe721a2d308f",,"080959299","2020-01-19",,"21.50",,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200120_145552","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200120_145552_1.jpg","371d15a2-25ea-4685-910e-3a21cbe9c787",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200122_172725","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200122_172725_1.jpg","3e901430-1891-4fb8-a227-020c61e8bc94",,"08978581726","2020-01-14","14:29:40",,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200117_112021","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200117_112021_1.jpg","d427b0d1-eccc-4893-b422-9a364496443d",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200116_131942","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200116_131942_1.jpg","7fc42a84-a25c-46cc-9ff1-0d061d0eb20a",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200116_124939","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200116_124939_1.jpg","1331623d-ddbf-478a-9a9d-d58e82af4f16",,,"2020-01-16","12:06:00",,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200115_170306","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200115_170306_1.jpg","cacdc3db-5920-4ba7-b74b-d70a493e9255",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200116_132054","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200116_132054_1.jpg","677232e4-c437-4902-8690-b9476029e5cf",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200116_124924","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200116_124924_1.jpg","6da6a65b-ce90-4e8b-8f23-a48900855e62",,,"2020-01-16","12:06:00","2.85",,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200117_213106","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200117_213106_1.jpg","4e23190d-0976-49de-bc46-2a240a52d9c1",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200113_101331","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200113_101331_1.jpg","cefdebad-ca7d-4e49-ae1f-988cdc2f7e22",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200116_091208","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200116_091208_1.jpg","bd3c898a-148d-4edf-860d-9586561216cf",,,,,,,,,,,,,,,,,,,,,,"Item",
