id,file,client_receipt_id,snapshot_url_1,handle_id,retailer_name,store_phone,purchase_date,purchase_time,purchase_total,num_items_with_total,summed_net_total,receipt_item_code,receipt_item_description,receipt_item_price,receipt_item_quantity,quantity_type,identified_product_upc,identified_product_description,identified_product_brand,product_category,essence_in_item,essence,match_ratio_to_item_tokens,product_confidence,product_retailer,type
"5243673","out_of_home2","OOHReceipt_20200125_104214","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200125_104214_1.jpg","8f2bf69e-80a9-4a6d-b170-3650181ee3b9",,"036142700","2020-01-25","10:41:00","1.27","4","1.27",,"Pfand","0.25","1.000","unit",,,,,,,,,,"Item"
"5243674","out_of_home2","OOHReceipt_20200125_104214","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200125_104214_1.jpg","8f2bf69e-80a9-4a6d-b170-3650181ee3b9",,"036142700","2020-01-25","10:41:00","1.27","4","1.27",,"GLOBUS MIWA CL","0.28","1.000","unit","4304218502636","GLOBUS CLASSIC MIWA 6X0,5 LTR PET EW FL","GLOBUS","HEIL-/ TAFEL-/ MINERALWASSER","miwa","miwa","1.00","0.950","GFK","Item"
"5243675","out_of_home2","OOHReceipt_20200125_104214","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200125_104214_1.jpg","8f2bf69e-80a9-4a6d-b170-3650181ee3b9",,"036142700","2020-01-25","10:41:00","1.27","4","1.27",,"Pfand Einweg","0.25","1.000","unit",,,,,,,,,,"Item"
"5243676","out_of_home2","OOHReceipt_20200124_120249","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_120249_1.jpg","52e4c886-fc46-42f9-9041-c0d156b3e51f",,"016098292709","2020-01-18","14:01:00","2.50","1","2.50",,"Käsebreze","2.50","1.000","unit",,,,,,,,,,"Item"
"5243677","out_of_home2","OOHReceipt_20200124_110743","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_110743_1.jpg","7975e9bf-a992-4bd0-b19c-69e86a136dae",,,"2020-01-24","07:56:00","4.50","2","4.50",,"Franzbrötchen klassisch","1.20","2.000","unit",,"HARZER MINIS KLASSISCH 115GR SCHALE","LIDL RESTL.","WEICHKAESE","klassisch","klassisch","0.50","0.569","GFK","Item"
"5243678","out_of_home2","OOHReceipt_20200124_110743","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_110743_1.jpg","7975e9bf-a992-4bd0-b19c-69e86a136dae",,,"2020-01-24","07:56:00","4.50","2","4.50",,"Cafe Crema mittel","2.10","1.000","unit","4311501630563","GUT&GUENSTIG CAFE CREMA 20 PADS 144GR DOSE","GUT&GUENSTIG","ROESTKAFFEE","cafe","cafe","0.67","0.726","GFK","Item"
"5243679","out_of_home2","OOHReceipt_20200125_123324","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200125_123324_1.jpg","acf3679f-3a6f-4caa-a967-a82d6f67b3be",,,"2020-01-24","20:57:00","6.20","1","6.20",,"Weinschorle weiss 0","6.20","1.000","unit","4101080058366","GERSTACKER WEINSCHORLE WEISS 1000ML","GERSTACKER","WEINHALTIGE GETRAENKE","weinschorle","weinschorle","1.00","0.941","GFK","Item"
"5243680","out_of_home2","OOHReceipt_20200125_123248","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200125_123248_1.jpg","52f78649-52c1-4dd9-9494-a845e9e33b41",,,"2020-01-24","20:57:00","7.30","2","7.30",,"Weinschorle weiss","3.60","1.000","unit","4002287013144","REH KENDERMANN STRANDGUT WEINSCHORLE WEISS 6% 750ML","STRANDGUT","WEINHALTIGE GETRAENKE","weinschorle","weinschorle","1.00","0.950","GFK","Item"
"5243681","out_of_home2","OOHReceipt_20200125_123248","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200125_123248_1.jpg","52f78649-52c1-4dd9-9494-a845e9e33b41",,,"2020-01-24","20:57:00","7.30","2","7.30",,"Kakao","3.70","1.000","unit","4008391212145","SEITENBACHER KAKAO-DUESID 375 G","SEITENBACHER","CEREALIEN / MUESLI","kakao","kakao","1.00","0.698","GFK","Item"
"5243682","out_of_home2","OOHReceipt_20200127_103806","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200127_103806_1.jpg","025241a1-e838-4a9f-a15a-7157f8f8d005",,"09112401342","2020-01-17","11:54:14",,"1","2.00",,"Hamburger","1.00","2.000","unit",,"PURLAND HAMBURGER ZUM BRATEN 200GR","PURLAND","FLEISCH FRISCHWARE","hamburger","hamburger","1.00","0.692","GFK","Item"
"5243683","out_of_home2","OOHReceipt_20200125_102722","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200125_102722_1.jpg","dbe26785-c47f-4d81-9b7a-b696d47e6c06",,,,,"3.20","1","3.20",,"Schni zelbrötchen","2.00","1.600","unit","4001461432108","VEGETARIA SCHNITZEL 4X100GR","VEGETARIA","FLEISCHERSATZPRODUKTE","schnitzel","schnitzel","0.50","0.593","GFK","Item"
"5243684","out_of_home2","OOHReceipt_20200126_184739","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200126_184739_1.jpg","eb33940b-ad1f-481e-ac1d-184382a7c895",,,"2020-01-25",,,"10","69.76",,"FANZÖSISCHES","3.60","1.000","unit",,"BEST MOMENTS FRANZOESISCHES GAENSERILLETTES GLAS 180G","BEST MOMENTS","WURST FRISCH / SB-WARE",,"gaenserillettes","1.00","0.485","GFK","Item"
"5243685","out_of_home2","OOHReceipt_20200126_184739","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200126_184739_1.jpg","eb33940b-ad1f-481e-ac1d-184382a7c895",,,"2020-01-25",,,"10","69.76",,"LACHSWAX","8.91","1.000","unit",,,,,,,,,,"Item"
"5243686","out_of_home2","OOHReceipt_20200126_184739","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200126_184739_1.jpg","eb33940b-ad1f-481e-ac1d-184382a7c895",,,"2020-01-25",,,"10","69.76",,"CAPPUCCINO GROSS","3.20","1.000","unit","4009418164041","Tip Family Cappuccino 500 gr","TIP","EXTRAKTKAFFEE INSTANT","cappuccino","cappuccino","0.50","0.569","GFK","Item"
"5243687","out_of_home2","OOHReceipt_20200126_184739","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200126_184739_1.jpg","eb33940b-ad1f-481e-ac1d-184382a7c895",,,"2020-01-25",,,"10","69.76",,"LACHSBRÖTCHEN","4.20","1.000","unit",,,,,,,,,,"Item"
"5243688","out_of_home2","OOHReceipt_20200126_184739","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200126_184739_1.jpg","eb33940b-ad1f-481e-ac1d-184382a7c895",,,"2020-01-25",,,"10","69.76",,"LACHSBRÖTCHEN","4.20","1.000","unit",,,,,,,,,,"Item"
"5243689","out_of_home2","OOHReceipt_20200126_184739","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200126_184739_1.jpg","eb33940b-ad1f-481e-ac1d-184382a7c895",,,"2020-01-25",,,"10","69.76",,"LACHSBRÖTCHEN","4.20","1.000","unit",,,,,,,,,,"Item"
"5243690","out_of_home2","OOHReceipt_20200126_184739","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200126_184739_1.jpg","eb33940b-ad1f-481e-ac1d-184382a7c895",,,"2020-01-25",,,"10","69.76",,"TEE","2.70","1.000","unit","4008837201009","BUENT. GRUENPACK TEE","BUENTING","ECHTER TEE","tee","tee","1.00","0.698","GFK","Item"
