id,file,client_receipt_id,snapshot_url_1,handle_id,retailer_name,store_phone,purchase_date,purchase_time,purchase_total,num_items_with_total,summed_net_total,receipt_item_code,receipt_item_description,receipt_item_price,receipt_item_quantity,quantity_type,identified_product_upc,identified_product_description,identified_product_brand,product_category,essence_in_item,essence,match_ratio_to_item_tokens,product_confidence,product_retailer,type,algorithm
,"out_of_home2","OOHReceipt_20200123_142652","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200123_142652_1.jpg","a1fab502-6d37-428d-9975-8318fb668059",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200124_182758","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_182758_1.jpg","42d898b6-4ca5-4cff-b8cf-feed6e57fa19",,"03392250540","2020-01-24","18:26:16",,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200124_094925","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_094925_1.jpg","a90622b2-5ca0-46ee-a9c9-1e03df64a627","REWE","091120297242","2020-01-24",,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200124_203317","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_203317_1.jpg","5cd54728-2faf-4031-9f02-0960f6374167",,,,,,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200122_124014","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200122_124014_1.jpg","15293afb-60aa-417c-91d5-d4b004ec8f1d",,,"2020-01-22","12:10:00","3.15",,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200127_085258","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200127_085258_1.jpg","d98e0449-f871-47be-aea1-32108063fa21",,"022339792764","2020-01-25","17:54:00","4.80",,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200122_174533","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200122_174533_1.jpg","e2fb5892-7de3-41c8-9b16-8292ed79eb28",,,"2020-01-22","12:12:00",,,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200124_203030","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200124_203030_1.jpg","df7d6eb7-0ef7-409c-a563-9c71407e7681",,,,,"16.20",,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200122_141354","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200122_141354_1.jpg","8d1886e4-dfb2-4ade-92ef-0ac320b35515","REWE",,"2020-01-22","12:14:59","1.50",,,,,,,,,,,,,,,,,"Item",
,"out_of_home2","OOHReceipt_20200120_145552","https://s3.amazonaws.com/ourcart.platform.poc/gfk_23_12_19/OutOfHome_batch2/OOHReceipt_20200120_145552_1.jpg","73d93ad1-c98b-45a6-bc3f-9ec4fac117f7",,,,,,,,,,,,,,,,,,,,,,"Item",
